id. Response ID,T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,T03. Students should disclose the use of AI in assignments and reports.,T04. Every engineering student should receive formal education in AI.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T07. Robots should replace humans in hazardous occupations whenever possible.,T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T14. Social media algorithms contribute to opinion polarization.,T15. Society will increasingly depend on AI-assisted decision making.,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,E05. Students should be encouraged to take courses outside their primary discipline.,E06. Every undergraduate student should participate in at least one research project.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E08. Maintaining academic honesty is more important than obtaining high grades.,E09. Collaborative learning is generally more effective than individual learning.,E10. Universities should prioritize innovation and problem-solving over rote learning.,E11. University curricula should be updated more frequently to match emerging technologies.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E13. Universities should invest more resources in research than in expanding infrastructure.,E14. Strong collaborations between universities and industry improve student education.,E15. Continuous learning and skill development are essential throughout one's career.,S01. Every individual has a responsibility to contribute positively to society.,S02. Universities should encourage students to participate in community service activities.,S03. New technologies should be evaluated for their societal impact before widespread deployment.,S04. Technology companies should be accountable for unethical use of their platforms.,S05. Individuals should have greater control over how their personal data are collected and used.,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",S07. Equal opportunities should be prioritized regardless of a person's background.,S08. Diverse teams generally make better decisions than homogeneous teams.,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,S10. Scientific evidence should play an important role in public policy decisions.,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,S12. Young people should actively participate in addressing societal challenges.,S13. Critical evaluation of online information should be taught as a core educational skill.,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,S15. Building public trust is essential for responsible adoption of emerging technologies.,V01. Climate change requires immediate global action.,V02. Governments should prioritize investment in renewable energy over fossil fuels.,V03. Individuals should actively reduce their personal energy consumption.,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,V05. Single-use plastics should be significantly restricted.,"V06. Water conservation should be a priority in households, institutions, and industries.",V07. Protecting biodiversity is essential for long-term human well-being.,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,"V09. Products should be designed to encourage reuse, repair, and recycling.",V10. Consumers should consider environmental impact when purchasing products.,V11. Technological innovation is essential for addressing environmental challenges.,V12. Environmental sustainability should be integrated into higher education curricula.,V13. Companies should be held accountable for the environmental impacts of their activities.,V14. International cooperation is necessary to effectively address environmental challenges.,V15. Current generations have a responsibility to protect natural resources for future generations.
26,0,2,1,0,2,2,2,2,1,1,2,2,2,2,0,1,0,-2,2,0,1,2,-1,0,2,2,2,1,2,2,2,-1,1,2,2,2,2,2,2,2,2,2,0,2,-1,2,2,-2,1,2,2,2,1,2,-1,2,0,2,2,2
29,0,-2,1,0,2,2,2,2,2,0,2,2,1,2,2,1,0,-2,2,2,2,0,2,-1,2,2,0,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30,2,1,2,1,1,2,1,1,2,0,1,0,0,2,0,1,0,-2,1,2,2,2,2,0,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2
31,1,0,0,2,2,1,-1,1,0,2,1,1,2,0,0,1,0,0,0,2,1,2,2,2,2,2,1,2,2,2,2,1,1,0,2,2,1,0,1,1,2,1,1,1,1,0,0,0,-1,1,2,2,2,2,1,1,1,1,1,2
32,1,1,1,2,2,2,2,1,-1,2,1,2,1,2,1,2,0,-2,-1,2,1,0,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,0,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2
35,1,2,2,2,2,2,2,0,1,1,0,1,2,2,1,2,-2,-2,-1,0,0,1,1,0,2,2,1,0,1,2,1,0,1,-1,1,2,2,1,1,1,1,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
36,1,2,2,2,2,2,2,-2,-2,2,2,2,0,2,2,-1,1,1,-2,-1,0,0,2,-1,1,2,1,-1,2,2,2,-2,0,0,2,-2,2,0,1,0,2,0,2,2,2,2,2,2,2,-2,2,0,1,2,0,-1,2,2,2,2
37,1,1,1,2,2,2,2,2,-1,1,2,2,2,2,2,2,0,-1,-1,1,2,2,1,2,2,2,2,0,2,2,1,-1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
38,1,1,0,1,1,2,2,-1,1,2,2,1,1,2,1,2,-2,-1,2,2,2,2,2,1,2,2,1,0,2,2,2,0,2,0,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1
39,0,0,-1,1,2,2,2,-1,-1,0,0,0,0,1,1,2,1,-2,2,1,1,1,2,0,2,2,0,0,2,2,2,1,1,2,1,2,2,0,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2
40,1,2,2,2,1,-1,2,2,0,0,1,1,1,1,2,1,2,2,-1,1,1,1,2,2,0,2,0,0,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-2,-1,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2
42,1,1,0,2,1,1,2,1,1,1,1,-1,-1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,1,1,2,-1,2,1,1,1,1,0,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1
43,1,1,2,0,1,1,2,0,0,0,1,2,1,2,1,2,1,-2,-1,1,1,1,2,-1,1,2,1,0,0,1,1,1,0,2,2,2,2,0,2,0,2,1,2,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
45,0,1,1,0,0,1,-1,-2,0,1,1,1,2,1,0,2,0,-1,0,2,1,1,2,1,2,2,0,2,2,2,2,1,1,1,2,1,2,0,2,1,2,1,1,1,1,1,2,1,2,1,2,1,0,2,0,1,1,2,1,1
46,1,1,1,1,0,0,1,0,0,1,1,1,2,2,0,1,0,-1,0,1,1,1,1,1,2,2,0,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,0,1,1,1,2,1,1,0,1,2,1
48,1,-1,2,1,2,0,1,0,1,1,-1,0,2,2,1,1,0,1,-1,2,1,1,1,2,2,2,0,0,1,2,-1,1,0,-1,2,2,2,2,1,1,2,1,1,0,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2
49,0,-1,1,1,2,1,1,-1,-1,2,2,2,1,2,1,1,-1,-2,1,2,0,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,0,2,2,2,2
50,0,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,-1,-2,-1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,0,2,2,2,2,1
52,1,0,2,2,2,2,2,1,1,1,2,2,1,2,2,2,0,-1,-1,2,2,2,2,0,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,0,2,2,2
53,-2,1,2,2,1,2,2,0,-1,2,1,2,2,2,2,1,1,-2,-1,2,2,2,2,1,2,2,1,0,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2
54,0,1,2,2,2,2,2,0,1,2,2,2,0,2,2,2,0,0,0,1,-1,2,2,2,2,2,2,-2,2,2,2,2,2,-1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,-1,1,1,2,2,2,1,0,1,0,2,1,1,1,2,2,-1,-1,1,1,1,1,1,0,2,2,1,-1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,0,2,1,2,2,2,2,2
56,2,1,1,1,0,1,2,1,2,0,1,0,-1,2,1,0,0,-2,0,2,2,0,2,0,1,2,1,0,2,2,2,1,1,1,1,1,2,1,1,2,1,2,0,1,1,2,2,0,1,1,0,1,1,2,0,1,0,2,1,2
57,-2,-2,2,1,-1,1,1,-2,0,2,1,2,2,2,1,1,-1,-2,-1,2,2,2,2,2,2,2,-2,-1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2
58,1,1,1,2,2,2,-1,1,0,1,1,2,2,1,2,-1,0,-1,2,1,1,1,0,-2,1,1,2,-2,2,1,-2,-2,1,1,1,1,0,-2,1,2,2,2,2,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1
59,2,2,1,0,2,1,2,0,0,0,1,-1,1,1,2,2,1,-2,2,1,0,2,2,0,2,2,1,0,2,2,1,1,0,-1,2,2,0,2,1,0,2,1,0,2,2,1,1,-1,1,2,2,2,2,2,1,1,2,2,2,1
61,-2,1,1,1,1,1,2,0,0,1,2,2,1,1,1,2,-2,-2,1,1,0,1,1,0,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1
62,1,-1,2,2,2,1,2,0,1,2,2,2,2,2,2,-1,2,-1,0,1,-1,2,2,-2,1,2,1,0,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2,2,2
63,2,0,2,0,1,2,0,-2,0,2,1,2,0,0,2,2,1,0,-1,0,1,1,2,2,2,2,1,1,2,2,2,2,0,2,2,0,2,2,1,2,2,2,0,1,2,0,1,0,2,2,2,2,0,2,0,0,0,1,1,2
64,2,2,1,1,0,2,2,0,0,1,1,2,2,0,1,2,-1,-1,0,2,0,1,2,1,1,2,1,0,2,2,1,0,1,0,1,1,2,1,1,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,0,1,2,2,1
65,0,1,2,2,-1,1,-2,1,1,1,1,1,0,2,2,1,-1,0,-1,1,2,2,2,0,1,1,0,2,2,2,2,0,1,1,2,0,1,1,1,0,1,0,-1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1
66,1,-1,1,0,2,1,2,0,1,2,2,2,2,2,1,2,-1,-2,1,2,2,2,0,2,2,2,1,0,1,1,2,1,2,1,2,2,2,0,1,2,2,1,2,2,1,2,1,0,2,2,2,2,2,2,1,1,1,2,2,2
67,1,2,1,2,1,1,2,0,0,2,1,1,1,1,1,1,-1,0,2,2,1,2,2,1,2,2,2,0,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2
69,1,2,1,2,0,1,1,-1,1,1,0,1,1,0,1,1,2,-1,2,2,1,2,1,0,2,1,1,0,2,1,1,2,1,2,1,2,0,-1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,0,2,1,2
70,1,1,1,2,2,1,1,-1,-1,1,0,1,0,2,1,2,0,-2,1,2,1,2,0,1,2,2,1,0,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1
72,0,1,0,2,1,2,2,0,1,0,0,-1,0,1,1,2,-1,-1,1,1,2,2,0,2,2,1,1,2,2,2,2,2,2,2,0,0,2,0,1,2,2,2,2,2,2,1,1,0,0,2,2,2,2,1,1,1,2,2,2,2
74,-1,1,2,1,1,2,2,-2,1,2,2,2,2,2,2,2,-2,-1,1,2,2,2,1,2,2,2,-1,0,2,2,0,1,-1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-1,1,1,1,1,2,2,2,2,2,2,2,2
77,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,-2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2
79,1,0,2,0,2,0,2,0,2,1,2,1,0,2,0,0,1,0,1,1,1,1,1,0,1,1,-1,0,2,2,1,1,1,2,2,1,0,1,1,2,1,1,0,0,1,2,1,1,2,1,1,1,1,2,0,2,0,2,1,2
80,1,2,1,1,0,2,2,-2,0,1,2,1,0,2,1,-1,1,-2,1,0,0,1,2,0,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2
81,1,2,2,1,1,1,2,-1,0,2,2,1,1,2,1,1,-1,-2,1,1,0,1,2,2,1,2,2,-1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
82,0,1,0,1,2,1,1,0,-1,2,2,2,2,1,1,1,0,2,-1,-1,-1,0,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,0,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
83,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,-1,-2,-1,2,-1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2
84,-2,1,1,1,-1,2,-2,-1,0,-1,2,2,2,2,2,-1,1,-2,1,1,1,2,2,-1,2,2,2,0,1,2,1,-2,1,1,2,1,1,0,0,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
85,0,0,-1,1,2,2,0,0,0,-1,-1,1,0,1,2,2,-1,-2,2,1,0,1,0,-1,2,-1,-1,-2,2,2,1,0,2,1,2,2,2,-1,2,0,2,-1,2,1,1,2,0,2,2,2,2,-1,-1,2,0,2,1,2,2,2
86,1,2,1,1,1,2,-1,-1,-2,2,1,2,2,2,2,2,-2,-2,2,1,-2,2,2,2,2,2,2,0,1,2,2,1,2,2,2,2,2,2,2,0,2,1,1,2,2,0,2,2,1,2,2,2,2,2,2,1,2,2,2,2
87,1,0,1,2,1,0,2,1,1,1,2,1,1,2,2,1,1,0,-1,2,1,2,2,0,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2
89,1,0,0,0,1,1,1,1,1,2,2,-2,0,-1,1,2,1,-2,1,2,2,0,1,0,0,2,0,1,1,1,-2,0,-2,1,2,1,2,1,2,1,2,0,0,1,-2,1,0,2,2,2,2,2,1,2,1,0,1,2,2,2
90,-1,1,0,2,1,1,0,0,-1,1,1,1,1,1,1,2,-1,-2,-1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,1,1,1,0,1,2,2,-2,0,0,1,0,0,1,1,2,-1,1,2,-1,1,0,2,0,2,1,1,0,1,2,1,1,2,2,1,2,2,0,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2
93,-1,-1,1,2,1,0,1,1,1,2,1,2,0,2,1,0,-1,-2,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,0,1,1,0,1,1,0,1,1,-1,2,1,1
94,2,2,0,2,2,2,1,1,2,2,2,0,1,1,2,2,-1,-1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
95,0,2,2,2,1,1,-1,0,0,2,2,2,2,2,2,1,-1,-2,-1,1,1,2,0,2,2,2,2,0,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2
97,1,2,2,1,2,2,2,0,0,2,2,2,0,2,2,1,-1,-2,2,1,0,2,0,1,2,2,1,1,2,2,-1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2
99,0,1,0,1,1,1,2,0,0,2,1,1,2,1,1,2,0,0,-1,1,1,1,1,1,2,2,1,0,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1
101,1,2,2,2,2,2,1,1,0,1,1,2,2,1,2,2,2,0,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,2,2,1,1,1,1,2
102,0,0,2,0,1,1,2,1,1,2,2,2,0,2,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,2,1,1,1,2,2,1,1,2,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,2,1,2,1,2,1,2
103,1,1,1,2,1,2,2,0,-1,2,0,1,2,2,1,2,0,-1,1,2,2,1,0,1,1,1,-1,0,1,1,1,0,1,1,2,1,2,-1,0,1,1,1,1,1,1,1,1,-1,1,2,2,2,2,2,1,1,2,2,1,1
104,1,2,1,1,2,1,0,0,0,2,2,1,0,1,1,2,-2,-2,2,1,0,2,2,0,2,2,2,0,2,2,1,1,2,2,2,2,2,0,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
105,1,1,1,2,2,2,2,1,1,1,2,1,0,2,0,2,0,-2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
106,1,1,1,2,1,0,2,-1,1,0,-1,-1,0,2,0,2,0,-1,1,1,0,2,0,2,2,2,1,0,1,1,2,2,2,0,1,1,1,1,2,0,2,2,1,1,0,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1
108,1,1,0,1,1,1,2,0,2,0,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
109,1,2,1,0,1,1,1,1,0,2,1,1,1,1,-1,2,1,-1,0,2,1,1,1,0,1,2,2,0,2,2,2,2,2,1,2,2,2,2,1,0,1,1,1,0,2,1,2,1,1,2,1,1,0,1,1,1,1,0,1,-1
110,0,1,1,1,0,1,2,1,1,2,2,1,2,2,1,2,-2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
111,1,2,1,1,2,1,2,1,1,1,2,1,0,2,1,1,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,0,2,2,2,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,2,2,1,2,1,1,1,0,0,1,2,-1,0,2,1,2,-1,-2,1,2,2,0,2,0,2,1,1,0,2,2,0,0,-1,0,2,1,1,0,1,1,2,2,1,2,0,1,2,0,1,1,1,1,1,1,0,1,0,1,1,0
114,2,2,2,1,2,1,1,0,0,2,1,2,2,2,2,2,-1,-2,0,2,1,2,1,1,2,2,2,0,2,2,1,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
115,1,1,1,1,1,1,0,1,-1,1,-1,0,0,2,1,1,1,-1,0,2,1,1,2,2,2,1,2,0,0,1,1,-1,-1,1,2,1,2,1,1,0,1,2,0,1,1,2,1,-1,1,1,1,1,0,2,0,1,1,2,2,1
116,2,2,1,1,2,2,2,2,2,2,2,1,2,2,0,2,2,-2,1,2,2,2,1,2,2,1,2,-1,2,2,2,-1,2,2,2,1,1,2,1,1,2,2,1,1,0,2,2,1,0,1,0,2,1,0,0,2,1,2,2,2
117,-2,0,1,1,2,-1,1,0,1,1,-1,2,1,2,2,1,1,-1,1,1,-1,1,0,-1,2,1,0,0,1,2,-1,0,-1,0,2,1,1,0,1,1,2,0,1,0,1,2,2,0,1,1,2,1,1,1,-1,1,1,1,2,1
118,0,1,2,1,1,2,1,0,1,1,1,2,1,0,1,2,1,0,1,1,0,1,1,0,1,2,1,-1,2,2,1,0,2,1,1,1,2,1,1,1,2,2,1,0,1,2,2,1,2,2,2,2,1,2,0,1,1,1,1,2
119,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,-1,0,0,-1,1,-1,1,0,1,0,0,1,1,0,1,0,-1,-1,0,0,1,1,0,0
